item_id,score,extracted,gold,latency_ms,provider,engine_latency_ms,finish,error
gsm8k/test/44,1.0,20,20,3980.8,gemini,3432,stop,
gsm8k/test/45,0.0,None,104,62600.5,groq,1702,stop,
gsm8k/test/46,0.0,None,163,1727.1,groq,1106,stop,
gsm8k/test/47,0.0,None,800,1953.6,groq,1334,stop,
gsm8k/test/48,0.0,None,8,2468.8,groq,1177,stop,
gsm8k/test/49,0.0,None,30,1392.6,groq,986,stop,
gsm8k/test/50,0.0,None,294,1812.6,groq,1443,stop,
gsm8k/test/51,0.0,None,5,41928.3,openrouter,21825,stop,
gsm8k/test/52,0.0,None,15,42374.1,openrouter,22359,stop,
gsm8k/test/53,0.0,None,40,12996.7,groq,11119,stop,
gsm8k/test/54,0.0,None,40,40674.8,openrouter,20240,stop,
gsm8k/test/55,0.0,None,14,15203.3,openrouter,14169,stop,
gsm8k/test/56,0.0,None,3,51384.5,openrouter,11088,stop,
gsm8k/test/57,1.0,83,83,5524.8,openrouter,4541,stop,
gsm8k/test/58,0.0,None,57,16035.4,openrouter,15411,stop,
gsm8k/test/59,0.0,None,187,16900.8,openrouter,15815,stop,
gsm8k/test/60,1.0,17,17,5707.2,openrouter,5034,stop,
gsm8k/test/61,0.0,None,1430,18421.5,openrouter,17645,stop,
gsm8k/test/62,0.0,None,25000,15358.8,openrouter,14541,stop,
gsm8k/test/63,0.0,None,1596,13068.1,openrouter,12739,stop,
gsm8k/test/64,1.0,300,300,40685.0,gemini,3450,stop,
gsm8k/test/65,0.0,None,36,27599.5,openrouter,6558,stop,
gsm8k/test/66,1.0,48,48,9015.5,openrouter,8711,stop,
gsm8k/test/67,0.0,None,595,13322.2,openrouter,12270,stop,
gsm8k/test/68,0.0,None,36,15572.4,openrouter,14982,stop,
gsm8k/test/69,0.0,None,60,9531.8,openrouter,8822,stop,
gsm8k/test/70,1.0,$7425.00,7425,36984.6,gemini,3861,stop,
gsm8k/test/71,0.0,None,60,4485.0,openrouter,3881,stop,
gsm8k/test/72,0.0,None,221,11837.9,openrouter,11117,stop,
gsm8k/test/73,0.0,None,255,30415.7,openrouter,29847,stop,
gsm8k/test/74,1.0,88,88,14142.6,gemini,3972,stop,
gsm8k/test/75,1.0,60,60,4421.8,gemini,3955,stop,
gsm8k/test/76,1.0,5,5,4598.5,gemini,4126,stop,
gsm8k/test/77,1.0,100,100,3818.9,gemini,3355,stop,
gsm8k/test/78,1.0,$6.00,6,3974.1,gemini,3520,stop,
gsm8k/test/79,1.0,70,70,3299.7,gemini,2610,stop,
gsm8k/test/80,1.0,10,10,3691.6,gemini,3222,stop,
gsm8k/test/81,1.0,17,17,3523.1,gemini,3046,stop,
gsm8k/test/82,1.0,623,623,3437.3,gemini,2854,stop,
gsm8k/test/83,1.0,600,600,3862.4,gemini,3277,stop,
gsm8k/test/84,1.0,15,15,5976.6,gemini,4884,stop,
gsm8k/test/85,0.0,48,44,5206.0,gemini,3784,stop,
gsm8k/test/86,1.0,22,22,3333.2,gemini,2853,stop,
gsm8k/test/87,0.0,None,9360,11853.2,gemini,11274,length,
gsm8k/test/88,1.0,"8,000",8000,3447.9,gemini,3057,stop,
gsm8k/test/89,1.0,24,24,14712.3,gemini,2949,stop,
gsm8k/test/90,1.0,225,225,13808.7,gemini,2273,stop,
gsm8k/test/91,1.0,28,28,3158.5,gemini,2425,stop,
gsm8k/test/92,1.0,4,4,3964.5,gemini,3180,stop,
gsm8k/test/93,0.0,None,36,10742.7,gemini,10456,length,
gsm8k/test/94,1.0,348,348,5272.7,gemini,4592,stop,
gsm8k/test/95,1.0,40,40,4510.8,gemini,4046,stop,
gsm8k/test/96,1.0,3,3,2852.8,gemini,2212,stop,
gsm8k/test/97,1.0,12,12,3856.5,gemini,3195,stop,
gsm8k/test/98,1.0,5,5,4853.7,gemini,4081,stop,
gsm8k/test/99,1.0,58,58,2926.6,gemini,2588,stop,
gsm8k/test/100,1.0,175,175,4181.9,gemini,3743,stop,
gsm8k/test/101,1.0,6,6,2906.5,gemini,2304,stop,
gsm8k/test/102,1.0,26,26,4504.2,gemini,3866,stop,
gsm8k/test/103,1.0,140,140,6031.7,gemini,5399,stop,
gsm8k/test/104,1.0,500,500,5156.1,gemini,2298,stop,
gsm8k/test/105,1.0,20,20,4425.8,gemini,3147,stop,
gsm8k/test/106,1.0,72,72,6377.2,gemini,5785,stop,
gsm8k/test/107,1.0,3,3,4680.7,gemini,4215,stop,
gsm8k/test/108,1.0,50,50,4345.1,gemini,3734,stop,
gsm8k/test/109,1.0,28,28,6003.0,gemini,5556,stop,
gsm8k/test/110,1.0,45,45,3598.8,gemini,2892,stop,
gsm8k/test/111,1.0,16,16,4139.3,gemini,3489,stop,
gsm8k/test/112,1.0,24,24,3809.8,gemini,2914,stop,
gsm8k/test/113,1.0,25,25,2404.5,gemini,1796,stop,
gsm8k/test/114,1.0,6,6,3539.9,gemini,3224,stop,
gsm8k/test/115,1.0,$90,90,3252.9,gemini,2815,stop,
gsm8k/test/116,1.0,42,42,4571.0,gemini,4055,stop,
gsm8k/test/117,1.0,360,360,2714.8,gemini,2388,stop,
gsm8k/test/118,1.0,4,4,3070.8,gemini,2803,stop,
gsm8k/test/119,0.0,None,95200,7334.4,gemini,6958,stop,
gsm8k/test/120,1.0,240,240,3596.0,gemini,2462,stop,
gsm8k/test/121,1.0,27,27,3531.8,gemini,2697,stop,
gsm8k/test/122,1.0,48,48,4317.0,gemini,3993,stop,
gsm8k/test/123,1.0,50,50,3647.7,gemini,3298,stop,
gsm8k/test/124,1.0,10,10,3776.4,gemini,3355,stop,
gsm8k/test/125,1.0,10,10,2859.7,gemini,2580,stop,
gsm8k/test/126,1.0,82,82,2407.0,gemini,2103,stop,
gsm8k/test/127,1.0,120,120,4373.1,gemini,3468,stop,
gsm8k/test/128,1.0,880,880,4251.0,gemini,3828,stop,
gsm8k/test/129,1.0,$10000,10000,6515.8,gemini,3509,stop,
gsm8k/test/130,1.0,30,30,3391.7,gemini,3100,stop,
gsm8k/test/131,1.0,940,940,3297.0,gemini,2641,stop,
gsm8k/test/132,1.0,60,60,4197.3,gemini,3815,stop,
gsm8k/test/133,1.0,13,13,3266.7,gemini,2859,stop,
gsm8k/test/134,1.0,720,720,3347.5,gemini,2835,stop,
gsm8k/test/135,1.0,40,40,11781.1,gemini,2318,stop,
gsm8k/test/136,1.0,6,6,3573.9,gemini,2961,stop,
gsm8k/test/137,1.0,29.00,29,4406.6,gemini,3925,stop,
gsm8k/test/138,1.0,105,105,4414.0,gemini,3808,stop,
gsm8k/test/139,1.0,70,70,3991.2,gemini,3430,stop,
gsm8k/test/140,1.0,20,20,3238.0,gemini,2854,stop,
gsm8k/test/141,1.0,400,400,3890.5,gemini,3520,stop,
gsm8k/test/142,1.0,140,140,4018.1,gemini,3367,stop,
gsm8k/test/143,1.0,16,16,7231.4,gemini,3310,stop,
gsm8k/test/144,0.0,None,20,79664.5,openrouter,23172,stop,
gsm8k/test/145,1.0,4000,4000,4153.5,gemini,3697,stop,
gsm8k/test/146,0.0,2625,"2,125",5387.2,gemini,4977,stop,
gsm8k/test/147,0.0,None,75,82297.6,openrouter,28531,stop,
gsm8k/test/148,0.0,None,30,48445.7,openrouter,21631,stop,
gsm8k/test/149,0.0,None,16,15015.4,openrouter,14128,stop,
gsm8k/test/150,0.0,None,4,26053.1,openrouter,24977,stop,
gsm8k/test/151,0.0,None,5,26480.4,openrouter,25860,stop,
gsm8k/test/152,0.0,None,4,25537.3,openrouter,24567,stop,
gsm8k/test/153,1.0,48,48,134841.5,gemini,7053,stop,
gsm8k/test/154,0.0,None,272,29393.5,openrouter,28391,stop,
gsm8k/test/155,1.0,280,280,13470.1,openrouter,12529,stop,
gsm8k/test/156,1.0,1400,1400,8949.1,openrouter,7788,stop,
gsm8k/test/157,0.0,None,80,34528.7,openrouter,33735,stop,
gsm8k/test/158,1.0,$34,34,60992.5,openrouter,20765,stop,
gsm8k/test/159,0.0,None,15,5049.1,openrouter,4009,stop,
gsm8k/test/160,0.0,None,16,18221.1,openrouter,17634,stop,
gsm8k/test/161,0.0,None,32,20197.6,openrouter,18941,stop,
gsm8k/test/162,0.0,None,92,20579.4,openrouter,20119,stop,
gsm8k/test/163,0.0,None,50,48730.9,openrouter,8643,stop,
gsm8k/test/164,0.0,None,15,28220.4,openrouter,25049,stop,
gsm8k/test/165,0.0,None,77,31649.0,openrouter,31061,stop,
gsm8k/test/166,1.0,5,5,4971.9,openrouter,3984,stop,
gsm8k/test/167,0.0,None,16,6170.4,openrouter,5538,stop,
gsm8k/test/168,1.0,18,18,14052.5,openrouter,13461,stop,
gsm8k/test/169,1.0,120,120,4502.5,openrouter,3888,stop,
gsm8k/test/170,1.0,150,150,3880.8,gemini,3173,stop,
gsm8k/test/171,0.0,None,1210,12765.7,openrouter,11624,stop,
gsm8k/test/172,1.0,51,51,4120.0,gemini,3623,stop,
gsm8k/test/173,1.0,$18000,18000,7788.7,gemini,3748,stop,
gsm8k/test/174,1.0,95,95,3276.3,gemini,2777,stop,
gsm8k/test/175,1.0,$15,15,5539.3,gemini,5057,stop,
gsm8k/test/176,1.0,100,100,2704.8,gemini,2274,stop,
gsm8k/test/177,1.0,350,350,4038.0,gemini,3327,stop,
gsm8k/test/178,1.0,122,122,4404.4,gemini,3826,stop,
gsm8k/test/179,1.0,130,130,2679.0,gemini,2355,stop,
gsm8k/test/180,1.0,20,20,15537.3,gemini,2287,stop,
gsm8k/test/181,1.0,160,160,3523.5,gemini,2373,stop,
gsm8k/test/182,1.0,23,23,3705.6,gemini,3205,stop,
gsm8k/test/183,1.0,2,2,5663.1,gemini,5225,stop,
gsm8k/test/184,0.0,None,25,66003.8,openrouter,22769,stop,
gsm8k/test/185,1.0,30,30,4748.1,gemini,3457,stop,
gsm8k/test/186,0.0,None,5,30962.4,openrouter,4902,stop,
gsm8k/test/187,0.0,None,106,28079.9,openrouter,27509,stop,
gsm8k/test/188,1.0,50,50,19385.9,openrouter,18254,stop,
gsm8k/test/189,0.0,None,34,23627.8,openrouter,22081,stop,
gsm8k/test/190,0.0,None,360,3268.1,openrouter,2627,stop,
gsm8k/test/191,0.0,None,5,25075.0,openrouter,24733,stop,
gsm8k/test/192,0.0,None,91,19258.8,openrouter,18507,stop,
gsm8k/test/193,0.0,None,24,27946.2,openrouter,26991,stop,
gsm8k/test/194,0.0,None,10,4092.8,openrouter,3610,stop,
gsm8k/test/195,0.0,None,12,9276.2,openrouter,8543,stop,
gsm8k/test/196,0.0,None,120,38425.5,openrouter,22893,stop,
gsm8k/test/197,0.0,None,6277,5269.4,openrouter,4077,stop,
gsm8k/test/198,0.0,None,320,17640.7,openrouter,16764,stop,
gsm8k/test/199,0.0,None,7500,71405.8,openrouter,29839,stop,
gsm8k/test/200,0.0,None,55,15033.4,openrouter,13798,stop,
gsm8k/test/201,1.0,"$114,200","114,200",28724.5,openrouter,28144,stop,
gsm8k/test/202,1.0,100,100,23389.2,openrouter,22378,stop,
gsm8k/test/203,0.0,None,31,32186.3,openrouter,31796,stop,
gsm8k/test/204,0.0,None,98,9247.5,openrouter,8582,stop,
gsm8k/test/205,0.0,None,98,35216.8,openrouter,34008,stop,
gsm8k/test/206,0.0,None,860,61264.2,openrouter,21366,stop,
gsm8k/test/207,1.0,2600,2600,6214.6,openrouter,5200,stop,
gsm8k/test/208,0.0,None,76,6440.9,openrouter,5336,stop,
gsm8k/test/209,0.0,None,145,29956.2,openrouter,28806,stop,
gsm8k/test/210,0.0,None,10,26671.6,openrouter,25951,stop,
gsm8k/test/211,1.0,4,4,8789.7,openrouter,7632,stop,
gsm8k/test/212,0.0,None,5,12197.8,openrouter,11522,stop,
gsm8k/test/213,0.0,None,250,5355.2,openrouter,4197,stop,
gsm8k/test/214,1.0,8,8,23932.6,openrouter,23589,stop,
gsm8k/test/215,0.0,None,44,12599.9,openrouter,11912,stop,
gsm8k/test/216,0.0,None,220,43287.7,openrouter,3594,stop,
gsm8k/test/217,0.0,None,15,5740.3,openrouter,3955,stop,
gsm8k/test/218,0.0,None,45,17381.9,openrouter,16786,stop,
gsm8k/test/219,0.0,None,54,27692.8,openrouter,27074,stop,
gsm8k/test/220,0.0,None,70,18303.1,openrouter,17686,stop,
gsm8k/test/221,0.0,None,90,7355.5,openrouter,6101,stop,
gsm8k/test/222,0.0,None,140,19997.3,openrouter,19364,stop,
gsm8k/test/223,0.0,None,20000,18535.2,openrouter,18196,stop,
gsm8k/test/224,1.0,180,180,14498.5,openrouter,3100,stop,
gsm8k/test/225,1.0,9,9,77947.0,openrouter,20750,stop,
gsm8k/test/226,0.0,None,33,20656.5,openrouter,19733,stop,
gsm8k/test/227,0.0,None,9,20291.9,openrouter,19307,stop,
gsm8k/test/228,0.0,None,1,4272.1,openrouter,3809,stop,
gsm8k/test/229,0.0,None,21,27855.9,openrouter,27174,stop,
gsm8k/test/230,0.0,None,"276,000",21909.6,openrouter,4439,stop,
gsm8k/test/231,0.0,None,50,5270.3,openrouter,4147,stop,
gsm8k/test/232,0.0,None,75,8754.6,openrouter,7608,stop,
gsm8k/test/233,1.0,12,12,20305.8,openrouter,3397,stop,
gsm8k/test/234,0.0,None,21,17948.0,openrouter,17556,stop,
gsm8k/test/235,0.0,None,10,10375.8,openrouter,9753,stop,
gsm8k/test/236,0.0,None,31,85253.7,groq,3568,stop,
gsm8k/test/237,1.0,90,90,29479.4,openrouter,28421,stop,
gsm8k/test/238,0.0,None,68,32386.5,openrouter,31472,stop,
gsm8k/test/239,0.0,None,280,66863.4,openrouter,24584,stop,
gsm8k/test/240,1.0,21,21,9307.7,openrouter,8167,stop,
gsm8k/test/241,0.0,None,6,59597.6,openrouter,19787,stop,
gsm8k/test/242,0.0,None,3,145630.0,openrouter,29131,stop,
gsm8k/test/243,0.0,None,250,5768.8,groq,1217,stop,
gsm8k/test/244,0.0,None,20,2111.5,groq,1607,stop,
gsm8k/test/245,0.0,None,7,210218.7,groq,19703,stop,
gsm8k/test/246,0.0,None,27000,1902.7,groq,1479,stop,
gsm8k/test/247,0.0,None,32,1399.8,groq,1025,stop,
gsm8k/test/248,0.0,None,300,18757.1,groq,18282,stop,
gsm8k/test/249,0.0,None,"5,600",2074.9,groq,1404,stop,
gsm8k/test/250,0.0,None,17,27040.6,groq,7880,stop,
gsm8k/test/251,1.0,70,70,1564.0,groq,919,stop,
gsm8k/test/252,1.0,73,73,3054.0,groq,2648,stop,
gsm8k/test/253,0.0,None,18,4042.3,groq,3370,stop,
gsm8k/test/254,0.0,None,84,11484.5,groq,991,stop,
gsm8k/test/255,0.0,None,192,3637.1,groq,3040,stop,
gsm8k/test/256,0.0,None,45,15202.2,groq,14703,stop,
gsm8k/test/257,0.0,None,5600,16499.8,groq,15917,stop,
gsm8k/test/258,1.0,6,6,3059.8,groq,1764,stop,
gsm8k/test/259,0.0,None,168,2695.4,groq,2294,stop,
gsm8k/test/260,0.0,None,11,7771.5,groq,7016,stop,
gsm8k/test/261,0.0,None,62,9355.1,groq,8495,stop,
gsm8k/test/262,0.0,None,270,5774.7,groq,4676,stop,
gsm8k/test/263,0.0,None,8,17013.2,groq,16573,stop,
gsm8k/test/264,0.0,None,400,28779.4,groq,5137,stop,
gsm8k/test/265,0.0,None,9500,97724.0,openrouter,27525,stop,
gsm8k/test/266,0.0,None,118000,6759.0,openrouter,6002,stop,
gsm8k/test/267,0.0,None,91,91774.9,openrouter,31946,stop,
gsm8k/test/268,0.0,None,1375,25105.6,openrouter,4899,stop,
gsm8k/test/269,0.0,None,4,19302.9,openrouter,18291,stop,
gsm8k/test/270,1.0,762,762,4481.2,openrouter,3604,stop,
gsm8k/test/271,0.0,None,20,23617.7,openrouter,23021,stop,
gsm8k/test/272,1.0,5,5,29935.4,openrouter,29023,stop,
gsm8k/test/273,0.0,None,315,8144.2,openrouter,7029,stop,
gsm8k/test/274,0.0,None,3200,15246.7,openrouter,13641,stop,
gsm8k/test/275,0.0,None,138,26528.8,openrouter,25864,stop,
gsm8k/test/276,0.0,None,9,30231.1,openrouter,29217,stop,
gsm8k/test/277,0.0,None,4,50286.1,openrouter,10274,stop,
gsm8k/test/278,0.0,None,40,22716.1,openrouter,22249,stop,
gsm8k/test/279,0.0,None,6,58032.5,openrouter,25355,stop,
gsm8k/test/280,1.0,7,7,44662.8,openrouter,3948,stop,
gsm8k/test/281,0.0,None,2450,7503.2,openrouter,5356,stop,
gsm8k/test/282,0.0,None,195,12862.4,openrouter,11803,stop,
gsm8k/test/283,0.0,None,68,17785.6,openrouter,16264,stop,
gsm8k/test/284,0.0,None,360,24173.2,openrouter,21647,stop,
gsm8k/test/285,0.0,None,21,21246.2,openrouter,20570,stop,
gsm8k/test/286,0.0,None,90,20210.6,openrouter,19825,stop,
gsm8k/test/287,0.0,None,8,4194.8,openrouter,3495,stop,
gsm8k/test/288,0.0,None,3,13101.1,openrouter,12621,stop,
gsm8k/test/289,0.0,None,16,14155.7,openrouter,13833,stop,
gsm8k/test/290,0.0,None,390,8012.6,openrouter,7126,stop,
gsm8k/test/291,0.0,None,2,7136.0,openrouter,6758,stop,
gsm8k/test/292,0.0,None,75,36815.2,openrouter,35782,stop,
gsm8k/test/293,0.0,None,83,57918.5,openrouter,16760,stop,
gsm8k/test/294,0.0,None,3,7562.8,openrouter,5569,stop,
gsm8k/test/295,0.0,None,370,17160.5,openrouter,15767,stop,
gsm8k/test/296,0.0,None,3,22304.8,openrouter,21601,stop,
gsm8k/test/297,1.0,55,55,10537.0,openrouter,6915,stop,
gsm8k/test/298,0.0,None,500,116870.5,openrouter,28164,stop,
gsm8k/test/299,0.0,None,31800,86548.2,openrouter,31835,stop,
gsm8k/test/300,1.0,78,78,26986.2,openrouter,22743,stop,
gsm8k/test/301,0.0,None,8,10243.2,openrouter,5991,stop,
gsm8k/test/302,1.0,15,15,22808.4,openrouter,22171,stop,
gsm8k/test/303,1.0,1300,1300,49916.3,openrouter,9445,stop,
gsm8k/test/304,0.0,None,3200,20781.4,openrouter,19788,stop,
gsm8k/test/305,1.0,4,4,20572.8,openrouter,19522,stop,
gsm8k/test/306,0.0,None,10,5324.0,openrouter,4313,stop,
gsm8k/test/307,0.0,None,16,77173.8,groq,8625,stop,
gsm8k/test/308,1.0,6,6,12492.4,openrouter,12061,stop,
gsm8k/test/309,0.0,None,8,14286.0,openrouter,11202,stop,
gsm8k/test/310,1.0,2050,2050,15643.3,openrouter,14428,stop,
gsm8k/test/311,0.0,None,91,59664.0,groq,3508,stop,
gsm8k/test/312,0.0,None,32,11877.0,openrouter,10099,stop,
gsm8k/test/313,0.0,None,120000,16142.1,openrouter,14385,stop,
gsm8k/test/314,0.0,None,30,23960.1,openrouter,22597,stop,
gsm8k/test/315,0.0,None,14,45412.5,groq,6460,stop,
gsm8k/test/316,0.0,None,156,12666.6,groq,3743,stop,
gsm8k/test/317,0.0,None,12,14534.5,groq,6683,stop,
gsm8k/test/318,0.0,None,123,11680.5,groq,2330,stop,
gsm8k/test/319,0.0,None,15,12357.9,groq,6020,stop,
gsm8k/test/320,0.0,None,8,3998.1,groq,3162,stop,
gsm8k/test/321,0.0,None,1,1648.3,groq,1031,stop,
gsm8k/test/322,0.0,None,9,11966.9,groq,11259,stop,
gsm8k/test/323,0.0,None,75,4869.1,groq,4101,stop,
gsm8k/test/324,0.0,None,14,6470.3,groq,5616,stop,
gsm8k/test/325,0.0,None,224000,12811.0,groq,12199,stop,
gsm8k/test/326,0.0,None,14,2118.8,groq,1629,stop,
gsm8k/test/327,0.0,None,31,14607.0,groq,13975,stop,
gsm8k/test/328,0.0,None,2,10808.7,groq,9879,stop,
gsm8k/test/329,0.0,None,14,17907.2,groq,17009,stop,
gsm8k/test/330,0.0,None,31,17825.0,groq,17169,stop,
gsm8k/test/331,0.0,None,8400,21082.9,groq,18815,stop,
gsm8k/test/332,0.0,None,44,41981.6,groq,19123,stop,
gsm8k/test/333,0.0,None,100,21419.5,groq,5836,stop,
gsm8k/test/334,0.0,None,6,2218.1,groq,1500,stop,
gsm8k/test/335,0.0,None,310,20381.4,groq,19704,stop,
gsm8k/test/336,0.0,None,72,5283.4,groq,4160,stop,
gsm8k/test/337,0.0,None,1,25258.7,groq,2007,stop,
gsm8k/test/338,0.0,None,60,30451.5,groq,15940,stop,
gsm8k/test/339,1.0,160,160,51707.1,gemini,4465,stop,
gsm8k/test/340,0.0,6,4,9236.6,groq,7503,stop,
gsm8k/test/341,0.0,None,260,2365.2,groq,1860,stop,
gsm8k/test/342,0.0,None,87,83612.3,groq,2163,stop,
gsm8k/test/343,1.0,"180,000",180000,29996.8,gemini,2716,stop,
gsm8k/test/344,1.0,2,2,26662.0,gemini,3621,stop,
gsm8k/test/345,0.0,None,310,44166.2,groq,1287,stop,
gsm8k/test/346,0.0,None,9,2754.0,groq,1251,stop,
gsm8k/test/347,1.0,36,36,46773.7,groq,6082,stop,
gsm8k/test/348,1.0,10,10,34386.2,openrouter,14022,stop,
gsm8k/test/349,0.0,None,2640,2363.7,groq,1609,stop,
gsm8k/test/350,0.0,None,8,7502.8,groq,4827,stop,
gsm8k/test/351,0.0,None,10,48497.2,groq,1451,stop,
gsm8k/test/352,0.0,None,21,24865.5,groq,1918,stop,
gsm8k/test/353,0.0,None,20,1973.6,groq,1324,stop,
gsm8k/test/354,0.0,None,45,1264.2,groq,931,stop,
gsm8k/test/355,0.0,None,34,1525.0,groq,1141,stop,
gsm8k/test/356,0.0,None,21,10962.4,groq,1226,stop,
gsm8k/test/357,0.0,None,2,38794.6,groq,19936,stop,
gsm8k/test/358,0.0,None,20,2336.3,groq,1579,stop,
gsm8k/test/359,0.0,None,4,10069.7,groq,9631,stop,
gsm8k/test/360,0.0,None,25,14973.5,groq,14344,stop,
gsm8k/test/361,0.0,None,20,41143.4,groq,22080,stop,
gsm8k/test/362,0.0,None,23,10728.4,groq,10005,stop,
gsm8k/test/363,0.0,None,6,24618.9,groq,1500,stop,
gsm8k/test/364,0.0,None,49,1591.4,groq,1195,stop,
gsm8k/test/365,0.0,None,18,1657.0,groq,1214,stop,
gsm8k/test/366,0.0,None,9,1774.7,groq,1355,stop,
gsm8k/test/367,0.0,None,19,16974.4,groq,16343,stop,
gsm8k/test/368,0.0,None,18,2502.1,groq,2088,stop,
gsm8k/test/369,0.0,None,1198,24575.6,groq,1844,stop,
gsm8k/test/370,0.0,None,320,35637.2,groq,1424,stop,
gsm8k/test/371,0.0,None,50,2626.4,groq,1825,stop,
gsm8k/test/372,0.0,None,5,20845.6,groq,1630,stop,
gsm8k/test/373,0.0,None,240000,1861.0,groq,1441,stop,
gsm8k/test/374,0.0,None,45,51190.1,groq,3856,stop,
gsm8k/test/375,0.0,None,48,49136.8,groq,1880,stop,
gsm8k/test/376,0.0,None,15,31273.5,groq,12988,stop,
gsm8k/test/377,,,,,,,,"HTTP 500 from http://127.0.0.1:8877/api/aqua/chat: {""success"":false,""requestId"":""7111ec92-0ab3-487c-b0af-314c37d023b9"",""conversationId"":""0a65b8c3-3200-4820-9e97-7a2f39fa1851"",""error"":""All OpenRouter models permanently unavailable"",""fallbackChain"":[{""provider"":""gemini"",""outcome"":""failed""},{""provider"":""groq"",""outcome"":""failed""},{""provider"":""openrouter"
gsm8k/test/378,0.0,None,15,2082.8,groq,1472,stop,
gsm8k/test/379,0.0,None,21,1495.5,groq,1068,stop,
gsm8k/test/380,0.0,None,803,2931.4,groq,1942,stop,
gsm8k/test/381,1.0,67,67,1616.4,groq,1177,stop,
gsm8k/test/382,0.0,None,350,3134.7,groq,2633,stop,
gsm8k/test/383,0.0,None,2,19289.2,groq,1753,stop,
gsm8k/test/384,0.0,None,32,16072.7,groq,15581,stop,
gsm8k/test/385,0.0,None,16,61812.7,groq,1502,stop,
gsm8k/test/386,0.0,None,80,1723.9,groq,1219,stop,
gsm8k/test/387,0.0,None,36,1750.9,groq,1038,stop,
gsm8k/test/388,0.0,None,88,2850.5,groq,1348,stop,
gsm8k/test/389,0.0,None,6,1833.7,groq,1220,stop,
gsm8k/test/390,1.0,12,12,1949.7,groq,1287,stop,
gsm8k/test/391,0.0,None,15,21495.3,groq,2082,stop,
gsm8k/test/392,0.0,None,34,5054.8,groq,2952,stop,
gsm8k/test/393,0.0,None,20,31373.7,groq,8045,stop,
gsm8k/test/394,0.0,None,92,2925.7,groq,1853,stop,
gsm8k/test/395,0.0,None,38,50517.2,groq,2576,stop,
gsm8k/test/396,0.0,None,3,19554.3,groq,1492,stop,
gsm8k/test/397,0.0,None,25,14921.7,groq,1303,stop,
gsm8k/test/398,0.0,None,168,56265.8,groq,1742,stop,
gsm8k/test/399,0.0,None,12,3270.9,groq,992,stop,
